name,x,y,z,neighbors,type,search_name,x-pre,y-pre
ML_1,1626.984,1148.264,1,ML_1_elevator ML_1_stairs,plain,Piso 1 ML,1378.8,634.4
ML_2,1626.984,1148.264,1,ML_2_stairstoexit ML_2_electricstairs ML_2_elevator ML_1_stairs,plain,Piso 2 ML,1378.8,634.4
ML_3,1626.984,1148.264,1,ML_3_electricstairs ML_3_elevator,plain,Piso 3 ML,1378.8,634.4
ML_4,1626.984,1148.264,1,ML_4_electricstairs ML_4_elevator,plain,Piso 4 ML,1378.8,634.4
ML_5,1626.984,1148.264,1,ML_5_electricstairs ML_5_elevator ML_5_bridgetoW,plain,Piso 5 ML,1378.8,634.4
ML_6,1626.984,1148.264,1,ML_6_electricstairs ML_6_elevator ,plain,Piso 6 ML,1378.8,634.4
ML_7,1626.984,1148.264,1,ML_7_elevator,plain,Piso 7 ML,1378.8,634.4
ML_8,1626.984,1148.264,1,ML_8_elevator,plain,Piso 8 ML,1378.8,634.4
ML_1_stairs,1676.544,1194.962,1,ML_1 ,stairs,,1420.8,660.2
ML_7_stairs,1676.544,1194.962,1,ML_7 ML_7_elevator,stairs,,1420.8,660.2
ML_8_stairs,1676.544,1194.962,1,ML_8 ML_8_elevator ML_8_stairs,stairs,,1420.8,660.2
ML_2_stairstoexit,1543.204,1107.358,1,ML_2 ML_2_electricstairs ML_2_elevator,stairs,,1307.8,611.8
ML_2_electricstairs,1645.628,1173.242,1,ML_2 ML_2_elevator,electricstairs,,1394.6,648.2
ML_3_electricstairs,1645.628,1173.242,1,ML_3 ML_3_elevator,electricstairs,,1394.6,648.2
ML_4_electricstairs,1645.628,1173.242,1,ML_4 ML_4_elevator,electricstairs,,1394.6,648.2
ML_5_electricstairs,1645.628,1173.242,1,ML_5 ML_5_elevator,electricstairs,,1394.6,648.2
ML_6_electricstairs,1645.628,1173.242,1,ML_6 ML_6_elevator,electricstairs,,1394.6,648.2
ML_5_bridgetoW,1664.862,1248.538,1,W_5_bridgetoML ML_5 W_5,plain,,1410.9,689.8
ML_1_elevator,1612.706,1202.745,1,ML_1 ML_1_electricstairs,elevator,,1366.7,664.5
ML_2_elevator,1612.706,1202.745,1,ML_2 ML_2_electricstairs,elevator,,1366.7,664.5
ML_3_elevator,1612.706,1202.745,1,ML_3 ML_3_electricstairs,elevator,,1366.7,664.5
ML_4_elevator,1612.706,1202.745,1,ML_4 ML_4_electricstairs,elevator,,1366.7,664.5
ML_7_elevator,1612.706,1202.745,1,ML_7 ML_7_stairs ML_7_elevator,elevator,,1366.7,664.5
ML_8_elevator,1612.706,1202.745,1,ML_8 ML_8_elevator ML_8_stairs,elevator,,1366.7,664.5
ML_6_elevator,1612.706,1202.745,1,ML_6 ML_6_stairs ML_6_electricstairs,elevator,,1366.7,664.5
ML_5_elevator,1612.706,1202.745,1,ML_5 ML_5_electricstairs,elevator,,1366.7,664.5
W_5_bridgetoML,1665.806,1298.856,1,ML_5_bridgetoW ML_5 W_5,bridge,,1411.7,717.6
